event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1624704697.67,stimulus,1,1,,,PracticeSession
1624704698.17,fixation,1,1,,,PracticeSession
1624704699.67,stimulus,1,2,,,PracticeSession
1624704700.17,fixation,1,2,,,PracticeSession
1624704701.67,stimulus,1,3,,,PracticeSession
1624704702.17,fixation,1,3,,,PracticeSession
1624704703.67,stimulus,1,4,,,PracticeSession
1624704704.17,fixation,1,4,,,PracticeSession
1624704705.67,stimulus,1,5,,,PracticeSession
1624704706.17,fixation,1,5,,,PracticeSession
1624704707.67,stimulus,1,6,,,PracticeSession
1624704708.17,fixation,1,6,,,PracticeSession
1624704709.67,stimulus,1,7,,,PracticeSession
1624704710.17,fixation,1,7,,,PracticeSession
1624704711.67,stimulus,1,8,,,PracticeSession
1624704712.17,fixation,1,8,,,PracticeSession
1624704713.67,stimulus,1,9,,,PracticeSession
1624704714.17,fixation,1,9,,,PracticeSession
1624704715.67,stimulus,1,10,,,PracticeSession
1624704716.17,fixation,1,10,,,PracticeSession
1624704717.67,stimulus,1,11,,,PracticeSession
1624704718.17,fixation,1,11,,,PracticeSession
1624704719.67,stimulus,1,12,,,PracticeSession
1624704720.17,fixation,1,12,,,PracticeSession
1624704721.67,stimulus,1,13,,,PracticeSession
1624704722.17,fixation,1,13,,,PracticeSession
1624704723.67,stimulus,1,14,,,PracticeSession
1624704724.17,fixation,1,14,,,PracticeSession
1624704725.67,stimulus,1,15,,,PracticeSession
1624704726.17,fixation,1,15,,,PracticeSession
1624704727.67,stimulus,1,16,,,PracticeSession
1624704728.17,fixation,1,16,,,PracticeSession
1624704729.67,stimulus,1,17,,,PracticeSession
1624704730.17,fixation,1,17,,,PracticeSession
1624704731.67,stimulus,1,18,,,PracticeSession
1624704732.17,fixation,1,18,,,PracticeSession
1624704733.67,stimulus,1,19,,,PracticeSession
1624704734.17,fixation,1,19,,,PracticeSession
1624704735.67,stimulus,1,20,,,PracticeSession
1624704736.17,fixation,1,20,,,PracticeSession
1624704737.67,stimulus,1,21,,,PracticeSession
1624704738.17,fixation,1,21,,,PracticeSession
1624704739.67,stimulus,1,22,,,PracticeSession
1624704740.17,fixation,1,22,,,PracticeSession
1624704741.67,stimulus,1,23,,,PracticeSession
1624704742.17,fixation,1,23,,,PracticeSession
1624704743.67,stimulus,1,24,,,PracticeSession
1624704744.17,fixation,1,24,,,PracticeSession
1624704745.67,stimulus,1,25,,,PracticeSession
1624704746.17,fixation,1,25,,,PracticeSession
1624704747.67,stimulus,1,26,,,PracticeSession
1624704748.17,fixation,1,26,,,PracticeSession
1624704749.67,stimulus,1,27,,,PracticeSession
1624704750.17,fixation,1,27,,,PracticeSession
1624704751.67,stimulus,1,28,,,PracticeSession
1624704752.17,fixation,1,28,,,PracticeSession
1624704753.67,stimulus,1,29,,,PracticeSession
1624704754.17,fixation,1,29,,,PracticeSession
1624704755.67,stimulus,1,30,,,PracticeSession
1624704756.17,fixation,1,30,,,PracticeSession
1624704757.67,stimulus,1,31,,,PracticeSession
1624704758.17,fixation,1,31,,,PracticeSession
1624704759.67,stimulus,1,32,,,PracticeSession
1624704760.17,fixation,1,32,,,PracticeSession
1624704761.67,stimulus,1,33,,,PracticeSession
1624704762.17,fixation,1,33,,,PracticeSession
1624704763.67,stimulus,1,34,,,PracticeSession
1624704764.17,fixation,1,34,,,PracticeSession
1624704765.67,stimulus,1,35,,,PracticeSession
1624704766.17,fixation,1,35,,,PracticeSession
1624704767.67,stimulus,1,36,,,PracticeSession
1624704768.17,fixation,1,36,,,PracticeSession
1624704769.67,stimulus,1,37,,,PracticeSession
1624704770.17,fixation,1,37,,,PracticeSession
1624704771.67,stimulus,1,38,,,PracticeSession
1624704772.17,fixation,1,38,,,PracticeSession
1624704773.67,stimulus,1,39,,,PracticeSession
1624704774.17,fixation,1,39,,,PracticeSession
1624704775.67,stimulus,1,40,,,PracticeSession
1624704776.17,fixation,1,40,,,PracticeSession
1624704777.67,stimulus,1,41,,,PracticeSession
1624704778.17,fixation,1,41,,,PracticeSession
1624704779.67,stimulus,1,42,,,PracticeSession
1624704780.17,fixation,1,42,,,PracticeSession
1624704781.67,stimulus,1,43,,,PracticeSession
1624704782.17,fixation,1,43,,,PracticeSession
1624704783.67,stimulus,1,44,,,PracticeSession
1624704784.17,fixation,1,44,,,PracticeSession
1624704785.67,stimulus,1,45,,0.0,NoMusic
1624704786.334,fixation,1,45,0.164,1.0,NoMusic
1624704787.67,stimulus,1,46,,0.0,NoMusic
1624704788.67,fixation,1,46,0.5,1.0,NoMusic
1624704790.151,stimulus,1,47,0.481,1.0,NoMusic
1624704790.17,fixation,1,47,,0.0,NoMusic
1624704791.67,stimulus,1,48,,0.0,NoMusic
1624704792.269,fixation,1,48,0.099,1.0,NoMusic
1624704793.67,stimulus,1,49,,0.0,NoMusic
1624704794.207,fixation,1,49,0.037,1.0,NoMusic
1624704796.148,stimulus,1,50,0.478,1.0,NoMusic
1624704796.17,fixation,1,50,,0.0,NoMusic
1624704797.67,stimulus,1,51,,0.0,NoMusic
1624704798.852,fixation,1,51,0.682,0.0,NoMusic
1624704799.67,stimulus,1,52,,0.0,NoMusic
1624704800.3930001,fixation,1,52,0.223,1.0,NoMusic
1624704802.0540001,stimulus,1,53,0.384,1.0,NoMusic
1624704802.17,fixation,1,53,,0.0,NoMusic
1624704804.088,stimulus,1,54,0.418,1.0,NoMusic
1624704804.17,fixation,1,54,,0.0,NoMusic
1624704806.099,stimulus,1,55,0.429,1.0,NoMusic
1624704806.17,fixation,1,55,,0.0,NoMusic
1624704808.049,stimulus,1,56,0.379,1.0,NoMusic
1624704808.17,fixation,1,56,,0.0,NoMusic
1624704809.67,stimulus,1,57,,0.0,NoMusic
1624704810.299,fixation,1,57,0.129,1.0,NoMusic
1624704811.67,stimulus,1,58,,0.0,NoMusic
1624704812.2710001,fixation,1,58,0.101,1.0,NoMusic
1624704813.67,stimulus,1,59,,0.0,NoMusic
1624704814.3330002,fixation,1,59,0.163,1.0,NoMusic
1624704816.075,stimulus,1,60,0.405,1.0,NoMusic
1624704816.17,fixation,1,60,,0.0,NoMusic
1624704817.67,stimulus,1,61,,0.0,NoMusic
1624704818.5570002,fixation,1,61,0.387,1.0,NoMusic
1624704819.67,stimulus,1,62,,0.0,NoMusic
1624704820.461,fixation,1,62,0.291,1.0,NoMusic
1624704821.67,stimulus,1,63,,0.0,NoMusic
1624704822.293,fixation,1,63,0.123,1.0,NoMusic
1624704823.67,stimulus,1,64,,0.0,NoMusic
1624704824.213,fixation,1,64,0.043,1.0,NoMusic
1624704825.67,stimulus,1,65,,0.0,NoMusic
1624704826.223,fixation,1,65,0.053,1.0,NoMusic
1624704827.67,stimulus,1,66,,0.0,NoMusic
1624704828.19,fixation,1,66,0.02,1.0,NoMusic
1624704829.67,stimulus,1,67,,0.0,NoMusic
1624704831.21,fixation,1,67,1.04,1.0,NoMusic
1624704832.065,stimulus,1,68,0.395,1.0,NoMusic
1624704832.17,fixation,1,68,,0.0,NoMusic
1624704834.086,stimulus,1,69,0.416,1.0,NoMusic
1624704834.17,fixation,1,69,,0.0,NoMusic
1624704835.67,stimulus,1,70,,0.0,NoMusic
1624704836.23,fixation,1,70,0.06,1.0,NoMusic
1624704837.67,stimulus,1,71,,0.0,NoMusic
1624704839.533,fixation,1,71,1.363,1.0,NoMusic
1624704839.9580002,stimulus,1,72,0.288,1.0,NoMusic
1624704840.888,fixation,1,72,0.718,0.0,NoMusic
1624704841.67,stimulus,1,73,,0.0,NoMusic
