event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1624845556.0,stimulus,1,1,,,PracticeSession
1624845556.5,fixation,1,1,,,PracticeSession
1624845558.0,stimulus,1,2,,,PracticeSession
1624845558.5,fixation,1,2,,,PracticeSession
1624845560.0,stimulus,1,3,,,PracticeSession
1624845560.5,fixation,1,3,,,PracticeSession
1624845562.0,stimulus,1,4,,,PracticeSession
1624845562.5,fixation,1,4,,,PracticeSession
1624845564.0,stimulus,1,5,,,PracticeSession
1624845564.5,fixation,1,5,,,PracticeSession
1624845566.0,stimulus,1,6,,,PracticeSession
1624845566.5,fixation,1,6,,,PracticeSession
1624845568.0,stimulus,1,7,,,PracticeSession
1624845568.5,fixation,1,7,,,PracticeSession
1624845570.0,stimulus,1,8,,,PracticeSession
1624845570.5,fixation,1,8,,,PracticeSession
1624845572.0,stimulus,1,9,,,PracticeSession
1624845572.5,fixation,1,9,,,PracticeSession
1624845574.0,stimulus,1,10,,,PracticeSession
1624845574.5,fixation,1,10,,,PracticeSession
1624845576.0,stimulus,1,11,,,PracticeSession
1624845576.5,fixation,1,11,,,PracticeSession
1624845578.0,stimulus,1,12,,,PracticeSession
1624845578.5,fixation,1,12,,,PracticeSession
1624845580.0,stimulus,1,13,,,PracticeSession
1624845580.5,fixation,1,13,,,PracticeSession
1624845582.0,stimulus,1,14,,,PracticeSession
1624845582.5,fixation,1,14,,,PracticeSession
1624845584.0,stimulus,1,15,,,PracticeSession
1624845584.5,fixation,1,15,,,PracticeSession
1624845586.0,stimulus,1,16,,,PracticeSession
1624845586.5,fixation,1,16,,,PracticeSession
1624845588.0,stimulus,1,17,,,PracticeSession
1624845588.5,fixation,1,17,,,PracticeSession
1624845590.0,stimulus,1,18,,,PracticeSession
1624845590.5,fixation,1,18,,,PracticeSession
1624845592.0,stimulus,1,19,,,PracticeSession
1624845592.5,fixation,1,19,,,PracticeSession
1624845594.0,stimulus,1,20,,,PracticeSession
1624845594.5,fixation,1,20,,,PracticeSession
1624845596.0,stimulus,1,21,,,PracticeSession
1624845596.5,fixation,1,21,,,PracticeSession
1624845598.0,stimulus,1,22,,,PracticeSession
1624845598.5,fixation,1,22,,,PracticeSession
1624845600.0,stimulus,1,23,,,PracticeSession
1624845600.5,fixation,1,23,,,PracticeSession
1624845602.0,stimulus,1,24,,,PracticeSession
1624845602.5,fixation,1,24,,,PracticeSession
1624845604.0,stimulus,1,25,,,PracticeSession
1624845604.5,fixation,1,25,,,PracticeSession
1624845606.0,stimulus,1,26,,,PracticeSession
1624845606.5,fixation,1,26,,,PracticeSession
1624845608.0,stimulus,1,27,,,PracticeSession
1624845608.5,fixation,1,27,,,PracticeSession
1624845610.0,stimulus,1,28,,,PracticeSession
1624845610.5,fixation,1,28,,,PracticeSession
1624845612.0,stimulus,1,29,,,PracticeSession
1624845612.5,fixation,1,29,,,PracticeSession
1624845614.0,stimulus,1,30,,,PracticeSession
1624845614.5,fixation,1,30,,,PracticeSession
1624845616.0,stimulus,1,31,,,PracticeSession
1624845616.5,fixation,1,31,,,PracticeSession
1624845618.0,stimulus,1,32,,,PracticeSession
1624845618.5,fixation,1,32,,,PracticeSession
1624845620.0,stimulus,1,33,,,PracticeSession
1624845620.5,fixation,1,33,,,PracticeSession
1624845622.0,stimulus,1,34,,,PracticeSession
1624845622.5,fixation,1,34,,,PracticeSession
1624845624.0,stimulus,1,35,,,PracticeSession
1624845624.5,fixation,1,35,,,PracticeSession
1624845626.0,stimulus,1,36,,,PracticeSession
1624845626.5,fixation,1,36,,,PracticeSession
1624845628.0,stimulus,1,37,,,PracticeSession
1624845628.5,fixation,1,37,,,PracticeSession
1624845630.0,stimulus,1,38,,,PracticeSession
1624845630.5,fixation,1,38,,,PracticeSession
1624845632.0,stimulus,1,39,,,PracticeSession
1624845632.5,fixation,1,39,,,PracticeSession
1624845634.0,stimulus,1,40,,,PracticeSession
1624845634.5,fixation,1,40,,,PracticeSession
1624845636.0,stimulus,1,41,,,PracticeSession
1624845636.5,fixation,1,41,,,PracticeSession
1624845638.0,stimulus,1,42,,,PracticeSession
1624845638.5,fixation,1,42,,,PracticeSession
1624845640.0,stimulus,1,43,,,PracticeSession
1624845640.5,fixation,1,43,,,PracticeSession
1624845642.0,stimulus,1,44,,,PracticeSession
1624845642.5,fixation,1,44,,,PracticeSession
1624845644.0,stimulus,1,45,,0.0,NoAct
1624845644.5,fixation,1,45,,0.0,NoAct
1624845646.229,stimulus,1,46,0.229,1.0,NoAct
1624845646.5,fixation,1,46,,0.0,NoAct
1624845648.387,stimulus,1,47,0.387,1.0,NoAct
1624845648.5,fixation,1,47,,0.0,NoAct
1624845650.0,stimulus,1,48,,0.0,NoAct
1624845650.503,fixation,1,48,0.003,0.0,NoAct
1624845652.449,stimulus,1,49,0.449,1.0,NoAct
1624845652.67,fixation,1,49,0.17,0.0,NoAct
1624845654.0,stimulus,1,50,,0.0,NoAct
1624845654.596,fixation,1,50,0.096,1.0,NoAct
1624845656.0,stimulus,1,51,,0.0,NoAct
1624845656.588,fixation,1,51,0.088,1.0,NoAct
1624845658.405,stimulus,1,52,0.405,1.0,NoAct
1624845658.5,fixation,1,52,,0.0,NoAct
1624845660.0,stimulus,1,53,,0.0,NoAct
1624845660.526,fixation,1,53,0.026,1.0,NoAct
1624845662.0,stimulus,1,54,,0.0,NoAct
1624845662.522,fixation,1,54,0.022,1.0,NoAct
1624845664.0,stimulus,1,55,,0.0,NoAct
1624845664.669,fixation,1,55,0.169,1.0,NoAct
1624845666.0,stimulus,1,56,,0.0,NoAct
1624845666.566,fixation,1,56,0.066,1.0,NoAct
1624845668.0,stimulus,1,57,,0.0,NoAct
1624845668.984,fixation,1,57,0.484,1.0,NoAct
1624845670.498,stimulus,1,58,0.498,1.0,NoAct
1624845670.5,fixation,1,58,,0.0,NoAct
1624845672.404,stimulus,1,59,0.404,1.0,NoAct
1624845672.5,fixation,1,59,,0.0,NoAct
1624845674.442,stimulus,1,60,0.442,1.0,NoAct
1624845674.5,fixation,1,60,,0.0,NoAct
1624845676.0,stimulus,1,61,,0.0,NoAct
1624845676.919,fixation,1,61,0.419,1.0,NoAct
1624845678.0,stimulus,1,62,,0.0,NoAct
1624845678.883,fixation,1,62,0.383,1.0,NoAct
1624845680.0,stimulus,1,63,,0.0,NoAct
1624845680.638,fixation,1,63,0.138,1.0,NoAct
1624845682.473,stimulus,1,64,0.473,1.0,NoAct
1624845682.5,fixation,1,64,,0.0,NoAct
1624845684.461,stimulus,1,65,0.461,1.0,NoAct
1624845684.5,fixation,1,65,,0.0,NoAct
1624845686.477,stimulus,1,66,0.477,1.0,NoAct
1624845686.5,fixation,1,66,,0.0,NoAct
1624845688.0,stimulus,1,67,,0.0,NoAct
1624845688.5,fixation,1,67,,0.0,NoAct
1624845690.497,stimulus,1,68,0.497,1.0,NoAct
1624845690.5,fixation,1,68,,0.0,NoAct
1624845692.288,stimulus,1,69,0.288,1.0,NoAct
1624845692.5,fixation,1,69,,0.0,NoAct
1624845694.435,stimulus,1,70,0.435,0.0,NoAct
1624845694.5,fixation,1,70,,0.0,NoAct
1624845696.315,stimulus,1,71,0.315,1.0,NoAct
1624845696.5,fixation,1,71,,0.0,NoAct
1624845698.0,stimulus,1,72,,0.0,NoAct
1624845698.822,fixation,1,72,0.322,1.0,NoAct
1624845700.0,stimulus,1,73,,0.0,NoAct
1624845700.609,fixation,1,73,0.109,0.0,NoAct
1624845702.0,stimulus,1,74,,0.0,NoAct
1624845702.577,fixation,1,74,0.077,1.0,NoAct
1624845704.0,stimulus,1,75,,0.0,NoAct
1624845705.006,fixation,1,75,0.506,1.0,NoAct
1624845706.0,stimulus,1,76,,0.0,NoAct
1624845706.69,fixation,1,76,0.19,1.0,NoAct
1624845708.0,stimulus,1,77,,0.0,NoAct
1624845708.537,fixation,1,77,0.037,0.0,NoAct
1624845710.0,stimulus,1,78,,0.0,NoAct
1624845710.61,fixation,1,78,0.11,1.0,NoAct
1624845712.0,stimulus,1,79,,0.0,NoAct
1624845713.215,fixation,1,79,0.715,1.0,NoAct
1624845714.0,stimulus,1,80,,0.0,NoAct
1624845714.866,fixation,1,80,0.366,1.0,NoAct
1624845716.0,stimulus,1,81,,0.0,NoAct
1624845716.636,fixation,1,81,0.136,1.0,NoAct
1624845718.0,stimulus,1,82,,0.0,NoAct
1624845718.627,fixation,1,82,0.127,1.0,NoAct
1624845720.0,stimulus,1,83,,0.0,NoAct
1624845720.5,fixation,1,83,,0.0,NoAct
1624845722.0,stimulus,1,84,,0.0,NoAct
1624845722.987,fixation,1,84,0.487,0.0,NoAct
1624845724.0,stimulus,1,85,,0.0,NoAct
1624845724.589,fixation,1,85,0.089,1.0,NoAct
1624845726.0,stimulus,1,86,,0.0,NoAct
1624845726.502,fixation,1,86,0.002,1.0,NoAct
1624845728.0,stimulus,1,87,,0.0,NoAct
1624845728.732,fixation,1,87,0.232,1.0,NoAct
1624845730.0,stimulus,1,88,,0.0,NoAct
1624845730.94,fixation,1,88,0.44,1.0,NoAct
1624845732.0,stimulus,1,89,,0.0,NoAct
1624845733.104,fixation,1,89,0.604,1.0,NoAct
1624845734.0,stimulus,1,90,,0.0,NoAct
1624845734.536,fixation,1,90,0.036,1.0,NoAct
1624845736.402,stimulus,1,91,0.402,1.0,NoAct
1624845736.5,fixation,1,91,,0.0,NoAct
1624845738.0,stimulus,1,92,,0.0,NoAct
1624845738.542,fixation,1,92,0.042,1.0,NoAct
1624845740.0,stimulus,1,93,,0.0,NoAct
1624845740.997,fixation,1,93,0.497,0.0,NoAct
1624845742.0,stimulus,1,94,,0.0,NoAct
1624845743.205,fixation,1,94,0.705,1.0,NoAct
1624845744.0,stimulus,1,95,,0.0,NoAct
1624845745.447,fixation,1,95,0.947,1.0,NoAct
1624845746.0,stimulus,1,96,,0.0,NoAct
1624845746.855,fixation,1,96,0.355,1.0,NoAct
1624845748.0,stimulus,1,97,,0.0,NoAct
1624845749.061,fixation,1,97,0.561,1.0,NoAct
1624845750.0,stimulus,1,98,,0.0,NoAct
1624845750.961,fixation,1,98,0.461,1.0,NoAct
1624845752.0,stimulus,1,99,,0.0,NoAct
1624845752.692,fixation,1,99,0.192,1.0,NoAct
1624845754.0,stimulus,1,100,,0.0,NoAct
1624845754.727,fixation,1,100,0.227,1.0,NoAct
1624845756.0,stimulus,1,101,,0.0,NoAct
1624845756.63,fixation,1,101,0.13,1.0,NoAct
1624845758.0,stimulus,1,102,,0.0,NoAct
1624845758.707,fixation,1,102,0.207,1.0,NoAct
1624845760.0,stimulus,1,103,,0.0,NoAct
1624845760.54,fixation,1,103,0.04,1.0,NoAct
1624845762.0,stimulus,1,104,,0.0,NoAct
1624845762.635,fixation,1,104,0.135,1.0,NoAct
1624845764.0,stimulus,1,105,,0.0,NoAct
1624845764.648,fixation,1,105,0.148,1.0,NoAct
1624845766.0,stimulus,1,106,,0.0,NoAct
1624845766.782,fixation,1,106,0.282,1.0,NoAct
1624845768.0,stimulus,1,107,,0.0,NoAct
1624845768.623,fixation,1,107,0.123,1.0,NoAct
1624845770.485,stimulus,1,108,0.485,1.0,NoAct
1624845770.5,fixation,1,108,,0.0,NoAct
1624845772.0,stimulus,1,109,,0.0,NoAct
1624845772.545,fixation,1,109,0.045,0.0,NoAct
1624845774.0,stimulus,1,110,,0.0,NoAct
1624845774.614,fixation,1,110,0.114,1.0,NoAct
1624845776.0,stimulus,1,111,,0.0,NoAct
1624845776.5,fixation,1,111,,0.0,NoAct
1624845778.364,stimulus,1,112,0.364,1.0,NoAct
1624845778.5,fixation,1,112,,0.0,NoAct
1624845780.459,stimulus,1,113,0.459,1.0,NoAct
1624845780.5,fixation,1,113,,0.0,NoAct
1624845782.0,stimulus,1,114,,0.0,NoAct
1624845782.645,fixation,1,114,0.145,1.0,NoAct
1624845784.414,stimulus,1,115,0.414,1.0,NoAct
1624845784.5,fixation,1,115,,0.0,NoAct
1624845786.39,stimulus,1,116,0.39,1.0,NoAct
1624845786.5,fixation,1,116,,0.0,NoAct
1624845788.406,stimulus,1,117,0.406,1.0,NoAct
1624845788.5,fixation,1,117,,0.0,NoAct
1624845790.0,stimulus,1,118,,0.0,NoAct
1624845790.582,fixation,1,118,0.082,1.0,NoAct
1624845792.0,stimulus,1,119,,0.0,NoAct
1624845792.676,fixation,1,119,0.176,1.0,NoAct
1624845794.0,stimulus,1,120,,0.0,NoAct
1624845794.788,fixation,1,120,0.288,1.0,NoAct
1624845796.363,stimulus,1,121,0.363,1.0,NoAct
1624845796.5,fixation,1,121,,0.0,NoAct
1624845798.0,stimulus,1,122,,0.0,NoAct
1624845798.501,fixation,1,122,0.001,1.0,NoAct
1624845800.372,stimulus,1,123,0.372,0.0,NoAct
1624845800.5,fixation,1,123,,0.0,NoAct
1624845802.0,stimulus,1,124,,0.0,NoAct
1624845802.821,fixation,1,124,0.321,1.0,NoAct
1624845804.461,stimulus,1,125,0.461,1.0,NoAct
1624845804.5,fixation,1,125,,0.0,NoAct
1624845806.0,stimulus,1,126,,0.0,NoAct
