event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1625853068.69,stimulus,1,1,,,PracticeSession
1625853069.19,fixation,1,1,,,PracticeSession
1625853070.69,stimulus,1,2,,,PracticeSession
1625853071.19,fixation,1,2,,,PracticeSession
1625853072.69,stimulus,1,3,,,PracticeSession
1625853073.19,fixation,1,3,,,PracticeSession
1625853074.69,stimulus,1,4,,,PracticeSession
1625853075.19,fixation,1,4,,,PracticeSession
1625853076.69,stimulus,1,5,,,PracticeSession
1625853077.19,fixation,1,5,,,PracticeSession
1625853078.69,stimulus,1,6,,,PracticeSession
1625853079.19,fixation,1,6,,,PracticeSession
1625853080.69,stimulus,1,7,,,PracticeSession
1625853081.19,fixation,1,7,,,PracticeSession
1625853082.69,stimulus,1,8,,,PracticeSession
1625853083.19,fixation,1,8,,,PracticeSession
1625853084.69,stimulus,1,9,,,PracticeSession
1625853085.19,fixation,1,9,,,PracticeSession
1625853086.69,stimulus,1,10,,,PracticeSession
1625853087.19,fixation,1,10,,,PracticeSession
1625853088.69,stimulus,1,11,,,PracticeSession
1625853089.19,fixation,1,11,,,PracticeSession
1625853090.69,stimulus,1,12,,,PracticeSession
1625853091.19,fixation,1,12,,,PracticeSession
1625853092.69,stimulus,1,13,,,PracticeSession
1625853093.19,fixation,1,13,,,PracticeSession
1625853094.69,stimulus,1,14,,,PracticeSession
1625853095.19,fixation,1,14,,,PracticeSession
1625853096.69,stimulus,1,15,,,PracticeSession
1625853097.19,fixation,1,15,,,PracticeSession
1625853098.69,stimulus,1,16,,,PracticeSession
1625853099.19,fixation,1,16,,,PracticeSession
1625853100.69,stimulus,1,17,,,PracticeSession
1625853101.19,fixation,1,17,,,PracticeSession
1625853102.69,stimulus,1,18,,,PracticeSession
1625853103.19,fixation,1,18,,,PracticeSession
1625853104.69,stimulus,1,19,,,PracticeSession
1625853105.19,fixation,1,19,,,PracticeSession
1625853106.69,stimulus,1,20,,,PracticeSession
1625853107.19,fixation,1,20,,,PracticeSession
1625853108.69,stimulus,1,21,,,PracticeSession
1625853109.19,fixation,1,21,,,PracticeSession
1625853110.69,stimulus,1,22,,,PracticeSession
1625853111.19,fixation,1,22,,,PracticeSession
1625853112.69,stimulus,1,23,,,PracticeSession
1625853113.19,fixation,1,23,,,PracticeSession
1625853114.69,stimulus,1,24,,,PracticeSession
1625853115.19,fixation,1,24,,,PracticeSession
1625853116.69,stimulus,1,25,,,PracticeSession
1625853117.19,fixation,1,25,,,PracticeSession
1625853118.69,stimulus,1,26,,,PracticeSession
1625853119.19,fixation,1,26,,,PracticeSession
1625853120.69,stimulus,1,27,,,PracticeSession
1625853121.19,fixation,1,27,,,PracticeSession
1625853122.69,stimulus,1,28,,,PracticeSession
1625853123.19,fixation,1,28,,,PracticeSession
1625853124.69,stimulus,1,29,,,PracticeSession
1625853125.19,fixation,1,29,,,PracticeSession
1625853126.69,stimulus,1,30,,,PracticeSession
1625853127.19,fixation,1,30,,,PracticeSession
1625853128.69,stimulus,1,31,,,PracticeSession
1625853129.19,fixation,1,31,,,PracticeSession
1625853130.69,stimulus,1,32,,,PracticeSession
1625853131.19,fixation,1,32,,,PracticeSession
1625853132.69,stimulus,1,33,,,PracticeSession
1625853133.19,fixation,1,33,,,PracticeSession
1625853134.69,stimulus,1,34,,,PracticeSession
1625853135.19,fixation,1,34,,,PracticeSession
1625853136.69,stimulus,1,35,,,PracticeSession
1625853137.19,fixation,1,35,,,PracticeSession
1625853138.69,stimulus,1,36,,,PracticeSession
1625853139.19,fixation,1,36,,,PracticeSession
1625853140.69,stimulus,1,37,,,PracticeSession
1625853141.19,fixation,1,37,,,PracticeSession
1625853142.69,stimulus,1,38,,,PracticeSession
1625853143.19,fixation,1,38,,,PracticeSession
1625853144.69,stimulus,1,39,,,PracticeSession
1625853145.19,fixation,1,39,,,PracticeSession
1625853146.69,stimulus,1,40,,,PracticeSession
1625853147.19,fixation,1,40,,,PracticeSession
1625853148.69,stimulus,1,41,,,PracticeSession
1625853149.19,fixation,1,41,,,PracticeSession
1625853150.69,stimulus,1,42,,,PracticeSession
1625853151.19,fixation,1,42,,,PracticeSession
1625853152.69,stimulus,1,43,,,PracticeSession
1625853153.19,fixation,1,43,,,PracticeSession
1625853154.69,stimulus,1,44,,,PracticeSession
1625853155.19,fixation,1,44,,,PracticeSession
1625853156.69,stimulus,1,45,,0.0,NoMusic
1625853157.2410002,fixation,1,45,0.051,1.0,NoMusic
1625853158.996,stimulus,1,46,0.306,1.0,NoMusic
1625853159.19,fixation,1,46,,0.0,NoMusic
1625853161.04,stimulus,1,47,0.35,1.0,NoMusic
1625853161.19,fixation,1,47,,0.0,NoMusic
1625853162.69,stimulus,1,48,,0.0,NoMusic
1625853163.229,fixation,1,48,0.039,1.0,NoMusic
1625853165.135,stimulus,1,49,0.445,1.0,NoMusic
1625853165.19,fixation,1,49,,0.0,NoMusic
1625853167.0800002,stimulus,1,50,0.39,1.0,NoMusic
1625853167.19,fixation,1,50,,0.0,NoMusic
1625853169.025,stimulus,1,51,0.335,0.0,NoMusic
1625853169.19,fixation,1,51,,0.0,NoMusic
1625853170.69,stimulus,1,52,,0.0,NoMusic
1625853171.1950002,fixation,1,52,0.005,1.0,NoMusic
1625853173.186,stimulus,1,53,0.496,1.0,NoMusic
1625853173.19,fixation,1,53,,0.0,NoMusic
1625853175.0540001,stimulus,1,54,0.364,1.0,NoMusic
1625853175.19,fixation,1,54,,0.0,NoMusic
1625853177.0240002,stimulus,1,55,0.334,1.0,NoMusic
1625853177.19,fixation,1,55,,0.0,NoMusic
1625853179.157,stimulus,1,56,0.467,1.0,NoMusic
1625853179.19,fixation,1,56,,0.0,NoMusic
1625853181.061,stimulus,1,57,0.371,1.0,NoMusic
1625853181.19,fixation,1,57,,0.0,NoMusic
1625853183.05,stimulus,1,58,0.36,1.0,NoMusic
1625853183.14,stimulus,2,1,,,PracticeSession
1625853183.19,fixation,1,58,,0.0,NoMusic
1625853183.64,fixation,2,1,,,PracticeSession
1625853185.049,stimulus,1,59,0.359,1.0,NoMusic
1625853185.14,stimulus,2,2,,,PracticeSession
1625853185.19,fixation,1,59,,0.0,NoMusic
1625853185.64,fixation,2,2,,,PracticeSession
1625853187.006,stimulus,1,60,0.316,1.0,NoMusic
1625853187.14,stimulus,2,3,,,PracticeSession
1625853187.19,fixation,1,60,,0.0,NoMusic
1625853187.64,fixation,2,3,,,PracticeSession
1625853189.079,stimulus,1,61,0.389,1.0,NoMusic
1625853189.14,stimulus,2,4,,,PracticeSession
1625853189.19,fixation,1,61,,0.0,NoMusic
1625853189.64,fixation,2,4,,,PracticeSession
1625853191.0340002,stimulus,1,62,0.344,1.0,NoMusic
1625853191.14,stimulus,2,5,,,PracticeSession
1625853191.19,fixation,1,62,,0.0,NoMusic
1625853191.64,fixation,2,5,,,PracticeSession
1625853193.0310001,stimulus,1,63,0.341,1.0,NoMusic
1625853193.14,stimulus,2,6,,,PracticeSession
1625853193.19,fixation,1,63,,0.0,NoMusic
1625853193.64,fixation,2,6,,,PracticeSession
1625853195.042,stimulus,1,64,0.352,1.0,NoMusic
1625853195.14,stimulus,2,7,,,PracticeSession
1625853195.19,fixation,1,64,,0.0,NoMusic
1625853195.64,fixation,2,7,,,PracticeSession
1625853197.012,stimulus,1,65,0.322,1.0,NoMusic
1625853197.14,stimulus,2,8,,,PracticeSession
1625853197.19,fixation,1,65,,0.0,NoMusic
1625853197.64,fixation,2,8,,,PracticeSession
1625853199.081,stimulus,1,66,0.391,1.0,NoMusic
1625853199.14,stimulus,2,9,,,PracticeSession
1625853199.19,fixation,1,66,,0.0,NoMusic
1625853199.64,fixation,2,9,,,PracticeSession
1625853200.69,stimulus,1,67,,0.0,NoMusic
1625853201.14,stimulus,2,10,,,PracticeSession
1625853201.64,fixation,2,10,,,PracticeSession
1625853202.071,fixation,1,67,0.881,1.0,NoMusic
1625853203.109,stimulus,1,68,0.419,1.0,NoMusic
1625853203.14,stimulus,2,11,,,PracticeSession
1625853203.19,fixation,1,68,,0.0,NoMusic
1625853203.64,fixation,2,11,,,PracticeSession
1625853205.005,stimulus,1,69,0.315,1.0,NoMusic
1625853205.14,stimulus,2,12,,,PracticeSession
1625853205.19,fixation,1,69,,0.0,NoMusic
1625853205.64,fixation,2,12,,,PracticeSession
1625853207.14,stimulus,2,13,,,PracticeSession
1625853207.1560001,stimulus,1,70,0.466,1.0,NoMusic
1625853207.19,fixation,1,70,,0.0,NoMusic
1625853207.64,fixation,2,13,,,PracticeSession
1625853208.969,stimulus,1,71,0.279,1.0,NoMusic
1625853209.14,stimulus,2,14,,,PracticeSession
1625853209.19,fixation,1,71,,0.0,NoMusic
1625853209.64,fixation,2,14,,,PracticeSession
1625853210.69,stimulus,1,72,,0.0,NoMusic
1625853211.14,stimulus,2,15,,,PracticeSession
1625853211.64,fixation,2,15,,,PracticeSession
1625853211.6460001,fixation,1,72,0.456,1.0,NoMusic
