event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1634891932.41,stimulus,1,1,,,PracticeSession
1634891932.91,fixation,1,1,,,PracticeSession
1634891934.41,stimulus,1,2,,,PracticeSession
1634891934.91,fixation,1,2,,,PracticeSession
1634891936.41,stimulus,1,3,,,PracticeSession
1634891936.91,fixation,1,3,,,PracticeSession
1634891938.41,stimulus,1,4,,,PracticeSession
1634891938.91,fixation,1,4,,,PracticeSession
1634891940.41,stimulus,1,5,,,PracticeSession
1634891940.91,fixation,1,5,,,PracticeSession
1634891942.41,stimulus,1,6,,,PracticeSession
1634891942.91,fixation,1,6,,,PracticeSession
1634891944.41,stimulus,1,7,,,PracticeSession
1634891944.91,fixation,1,7,,,PracticeSession
1634891946.41,stimulus,1,8,,,PracticeSession
1634891946.91,fixation,1,8,,,PracticeSession
1634891948.41,stimulus,1,9,,,PracticeSession
1634891948.91,fixation,1,9,,,PracticeSession
1634891950.41,stimulus,1,10,,,PracticeSession
1634891950.91,fixation,1,10,,,PracticeSession
1634891952.41,stimulus,1,11,,,PracticeSession
1634891952.91,fixation,1,11,,,PracticeSession
1634891954.41,stimulus,1,12,,,PracticeSession
1634891954.91,fixation,1,12,,,PracticeSession
1634891956.41,stimulus,1,13,,,PracticeSession
1634891956.91,fixation,1,13,,,PracticeSession
1634891958.41,stimulus,1,14,,,PracticeSession
1634891958.91,fixation,1,14,,,PracticeSession
1634891960.41,stimulus,1,15,,,PracticeSession
1634891960.91,fixation,1,15,,,PracticeSession
1634891962.41,stimulus,1,16,,,PracticeSession
1634891962.91,fixation,1,16,,,PracticeSession
1634891964.41,stimulus,1,17,,,PracticeSession
1634891964.91,fixation,1,17,,,PracticeSession
1634891966.41,stimulus,1,18,,,PracticeSession
1634891966.91,fixation,1,18,,,PracticeSession
1634891968.41,stimulus,1,19,,,PracticeSession
1634891968.91,fixation,1,19,,,PracticeSession
1634891970.41,stimulus,1,20,,,PracticeSession
1634891970.91,fixation,1,20,,,PracticeSession
1634891972.41,stimulus,1,21,,,PracticeSession
1634891972.91,fixation,1,21,,,PracticeSession
1634891974.41,stimulus,1,22,,,PracticeSession
1634891974.91,fixation,1,22,,,PracticeSession
1634891976.41,stimulus,1,23,,,PracticeSession
1634891976.91,fixation,1,23,,,PracticeSession
1634891978.41,stimulus,1,24,,,PracticeSession
1634891978.91,fixation,1,24,,,PracticeSession
1634891980.41,stimulus,1,25,,,PracticeSession
1634891980.91,fixation,1,25,,,PracticeSession
1634891982.41,stimulus,1,26,,,PracticeSession
1634891982.91,fixation,1,26,,,PracticeSession
1634891984.41,stimulus,1,27,,,PracticeSession
1634891984.91,fixation,1,27,,,PracticeSession
1634891986.41,stimulus,1,28,,,PracticeSession
1634891986.91,fixation,1,28,,,PracticeSession
1634891988.41,stimulus,1,29,,,PracticeSession
1634891988.91,fixation,1,29,,,PracticeSession
1634891990.41,stimulus,1,30,,,PracticeSession
1634891990.91,fixation,1,30,,,PracticeSession
1634891992.41,stimulus,1,31,,,PracticeSession
1634891992.91,fixation,1,31,,,PracticeSession
1634891994.41,stimulus,1,32,,,PracticeSession
1634891994.91,fixation,1,32,,,PracticeSession
1634891996.41,stimulus,1,33,,,PracticeSession
1634891996.91,fixation,1,33,,,PracticeSession
1634891998.41,stimulus,1,34,,,PracticeSession
1634891998.91,fixation,1,34,,,PracticeSession
1634892000.41,stimulus,1,35,,,PracticeSession
1634892000.91,fixation,1,35,,,PracticeSession
1634892002.41,stimulus,1,36,,,PracticeSession
1634892002.91,fixation,1,36,,,PracticeSession
1634892004.41,stimulus,1,37,,,PracticeSession
1634892004.91,fixation,1,37,,,PracticeSession
1634892006.41,stimulus,1,38,,,PracticeSession
1634892006.91,fixation,1,38,,,PracticeSession
1634892008.41,stimulus,1,39,,,PracticeSession
1634892008.91,fixation,1,39,,,PracticeSession
1634892010.41,stimulus,1,40,,,PracticeSession
1634892010.91,fixation,1,40,,,PracticeSession
1634892012.41,stimulus,1,41,,,PracticeSession
1634892012.91,fixation,1,41,,,PracticeSession
