event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1624890820.69,stimulus,1,1,,,PracticeSession
1624890821.19,fixation,1,1,,,PracticeSession
1624890822.69,stimulus,1,2,,,PracticeSession
1624890823.19,fixation,1,2,,,PracticeSession
1624890824.69,stimulus,1,3,,,PracticeSession
1624890825.19,fixation,1,3,,,PracticeSession
1624890826.69,stimulus,1,4,,,PracticeSession
1624890827.19,fixation,1,4,,,PracticeSession
1624890828.69,stimulus,1,5,,,PracticeSession
1624890829.19,fixation,1,5,,,PracticeSession
1624890830.69,stimulus,1,6,,,PracticeSession
1624890831.19,fixation,1,6,,,PracticeSession
1624890832.69,stimulus,1,7,,,PracticeSession
1624890833.19,fixation,1,7,,,PracticeSession
1624890834.69,stimulus,1,8,,,PracticeSession
1624890835.19,fixation,1,8,,,PracticeSession
1624890836.69,stimulus,1,9,,,PracticeSession
1624890837.19,fixation,1,9,,,PracticeSession
1624890838.69,stimulus,1,10,,,PracticeSession
1624890839.19,fixation,1,10,,,PracticeSession
1624890840.69,stimulus,1,11,,,PracticeSession
1624890841.19,fixation,1,11,,,PracticeSession
1624890842.69,stimulus,1,12,,,PracticeSession
1624890843.19,fixation,1,12,,,PracticeSession
1624890844.69,stimulus,1,13,,,PracticeSession
1624890845.19,fixation,1,13,,,PracticeSession
1624890846.69,stimulus,1,14,,,PracticeSession
1624890847.19,fixation,1,14,,,PracticeSession
1624890848.69,stimulus,1,15,,,PracticeSession
1624890849.19,fixation,1,15,,,PracticeSession
1624890850.69,stimulus,1,16,,,PracticeSession
1624890851.19,fixation,1,16,,,PracticeSession
1624890852.69,stimulus,1,17,,,PracticeSession
1624890853.19,fixation,1,17,,,PracticeSession
1624890854.69,stimulus,1,18,,,PracticeSession
1624890855.19,fixation,1,18,,,PracticeSession
1624890856.69,stimulus,1,19,,,PracticeSession
1624890857.19,fixation,1,19,,,PracticeSession
1624890858.69,stimulus,1,20,,,PracticeSession
1624890859.19,fixation,1,20,,,PracticeSession
1624890860.69,stimulus,1,21,,,PracticeSession
1624890861.19,fixation,1,21,,,PracticeSession
1624890862.69,stimulus,1,22,,,PracticeSession
1624890863.19,fixation,1,22,,,PracticeSession
1624890864.69,stimulus,1,23,,,PracticeSession
1624890865.19,fixation,1,23,,,PracticeSession
1624890866.69,stimulus,1,24,,,PracticeSession
1624890867.19,fixation,1,24,,,PracticeSession
1624890868.69,stimulus,1,25,,,PracticeSession
1624890869.19,fixation,1,25,,,PracticeSession
1624890870.69,stimulus,1,26,,,PracticeSession
1624890871.19,fixation,1,26,,,PracticeSession
1624890872.69,stimulus,1,27,,,PracticeSession
1624890873.19,fixation,1,27,,,PracticeSession
1624890874.69,stimulus,1,28,,,PracticeSession
1624890875.19,fixation,1,28,,,PracticeSession
1624890876.69,stimulus,1,29,,,PracticeSession
1624890877.19,fixation,1,29,,,PracticeSession
1624890878.69,stimulus,1,30,,,PracticeSession
1624890879.19,fixation,1,30,,,PracticeSession
1624890880.69,stimulus,1,31,,,PracticeSession
1624890881.19,fixation,1,31,,,PracticeSession
1624890882.69,stimulus,1,32,,,PracticeSession
1624890883.19,fixation,1,32,,,PracticeSession
1624890884.69,stimulus,1,33,,,PracticeSession
1624890885.19,fixation,1,33,,,PracticeSession
1624890886.69,stimulus,1,34,,,PracticeSession
1624890887.19,fixation,1,34,,,PracticeSession
1624890888.69,stimulus,1,35,,,PracticeSession
1624890889.19,fixation,1,35,,,PracticeSession
1624890890.69,stimulus,1,36,,,PracticeSession
1624890891.19,fixation,1,36,,,PracticeSession
1624890892.69,stimulus,1,37,,,PracticeSession
1624890893.19,fixation,1,37,,,PracticeSession
1624890894.69,stimulus,1,38,,,PracticeSession
1624890895.19,fixation,1,38,,,PracticeSession
1624890896.69,stimulus,1,39,,,PracticeSession
1624890897.19,fixation,1,39,,,PracticeSession
1624890898.69,stimulus,1,40,,,PracticeSession
1624890899.19,fixation,1,40,,,PracticeSession
1624890900.69,stimulus,1,41,,,PracticeSession
1624890901.19,fixation,1,41,,,PracticeSession
1624890902.69,stimulus,1,42,,,PracticeSession
1624890903.19,fixation,1,42,,,PracticeSession
1624890904.69,stimulus,1,43,,,PracticeSession
1624890905.19,fixation,1,43,,,PracticeSession
1624890906.69,stimulus,1,44,,,PracticeSession
1624890907.19,fixation,1,44,,,PracticeSession
1624890908.69,stimulus,1,45,,0.0,NoAct
1624890909.2250001,fixation,1,45,0.035,1.0,NoAct
1624890910.69,stimulus,1,46,,0.0,NoAct
1624890911.437,fixation,1,46,0.247,1.0,NoAct
1624890912.69,stimulus,1,47,,0.0,NoAct
1624890913.41,fixation,1,47,0.22,1.0,NoAct
1624890914.69,stimulus,1,48,,0.0,NoAct
1624890915.446,fixation,1,48,0.256,1.0,NoAct
1624890916.69,stimulus,1,49,,0.0,NoAct
1624890917.375,fixation,1,49,0.185,1.0,NoAct
1624890918.69,stimulus,1,50,,0.0,NoAct
1624890919.394,fixation,1,50,0.204,1.0,NoAct
1624890920.69,stimulus,1,51,,0.0,NoAct
1624890921.487,fixation,1,51,0.297,0.0,NoAct
1624890922.69,stimulus,1,52,,0.0,NoAct
1624890923.368,fixation,1,52,0.178,1.0,NoAct
1624890924.69,stimulus,1,53,,0.0,NoAct
1624890925.391,fixation,1,53,0.201,1.0,NoAct
1624890926.69,stimulus,1,54,,0.0,NoAct
1624890927.43,fixation,1,54,0.24,1.0,NoAct
1624890928.69,stimulus,1,55,,0.0,NoAct
1624890929.414,fixation,1,55,0.224,1.0,NoAct
1624890930.69,stimulus,1,56,,0.0,NoAct
1624890931.42,fixation,1,56,0.23,1.0,NoAct
1624890932.69,stimulus,1,57,,0.0,NoAct
1624890933.614,fixation,1,57,0.424,1.0,NoAct
1624890934.69,stimulus,1,58,,0.0,NoAct
1624890935.586,fixation,1,58,0.396,1.0,NoAct
1624890936.69,stimulus,1,59,,0.0,NoAct
1624890937.4450002,fixation,1,59,0.255,1.0,NoAct
1624890938.69,stimulus,1,60,,0.0,NoAct
1624890939.476,fixation,1,60,0.286,1.0,NoAct
1624890940.69,stimulus,1,61,,0.0,NoAct
1624890941.71,fixation,1,61,0.52,1.0,NoAct
1624890942.69,stimulus,1,62,,0.0,NoAct
1624890943.767,fixation,1,62,0.577,1.0,NoAct
1624890944.69,stimulus,1,63,,0.0,NoAct
1624890945.456,fixation,1,63,0.266,1.0,NoAct
1624890946.69,stimulus,1,64,,0.0,NoAct
1624890947.687,fixation,1,64,0.497,1.0,NoAct
1624890948.69,stimulus,1,65,,0.0,NoAct
1624890949.471,fixation,1,65,0.281,1.0,NoAct
1624890950.69,stimulus,1,66,,0.0,NoAct
1624890951.339,fixation,1,66,0.149,1.0,NoAct
1624890952.69,stimulus,1,67,,0.0,NoAct
1624890953.681,fixation,1,67,0.491,1.0,NoAct
1624890955.186,stimulus,1,68,0.496,1.0,NoAct
1624890955.19,fixation,1,68,,0.0,NoAct
1624890957.0700002,stimulus,1,69,0.38,1.0,NoAct
1624890957.19,fixation,1,69,,0.0,NoAct
1624890958.69,stimulus,1,70,,0.0,NoAct
1624890959.517,fixation,1,70,0.327,1.0,NoAct
1624890960.69,stimulus,1,71,,0.0,NoAct
1624890961.2940001,fixation,1,71,0.104,1.0,NoAct
1624890962.69,stimulus,1,72,,0.0,NoAct
1624890963.221,fixation,1,72,0.031,1.0,NoAct
1624890964.69,stimulus,1,73,,0.0,NoAct
1624890965.339,fixation,1,73,0.149,1.0,NoAct
1624890966.69,stimulus,1,74,,0.0,NoAct
1624890967.193,fixation,1,74,0.003,0.0,NoAct
1624890969.042,stimulus,1,75,0.352,1.0,NoAct
1624890969.19,fixation,1,75,,0.0,NoAct
1624890971.185,stimulus,1,76,0.495,1.0,NoAct
1624890971.19,fixation,1,76,,0.0,NoAct
1624890972.69,stimulus,1,77,,0.0,NoAct
1624890973.197,fixation,1,77,0.007,1.0,NoAct
1624890974.69,stimulus,1,78,,0.0,NoAct
1624890975.437,fixation,1,78,0.247,1.0,NoAct
1624890976.69,stimulus,1,79,,0.0,NoAct
1624890977.444,fixation,1,79,0.254,1.0,NoAct
1624890978.69,stimulus,1,80,,0.0,NoAct
1624890979.443,fixation,1,80,0.253,1.0,NoAct
1624890980.69,stimulus,1,81,,0.0,NoAct
1624890981.509,fixation,1,81,0.319,1.0,NoAct
1624890982.69,stimulus,1,82,,0.0,NoAct
1624890983.405,fixation,1,82,0.215,1.0,NoAct
1624890984.69,stimulus,1,83,,0.0,NoAct
1624890985.539,fixation,1,83,0.349,1.0,NoAct
1624890986.69,stimulus,1,84,,0.0,NoAct
1624890987.657,fixation,1,84,0.467,1.0,NoAct
1624890988.69,stimulus,1,85,,0.0,NoAct
1624890989.5570002,fixation,1,85,0.367,1.0,NoAct
1624890990.69,stimulus,1,86,,0.0,NoAct
1624890991.4650002,fixation,1,86,0.275,1.0,NoAct
1624890992.69,stimulus,1,87,,0.0,NoAct
1624890993.5210001,fixation,1,87,0.331,1.0,NoAct
1624890994.69,stimulus,1,88,,0.0,NoAct
1624890995.5670002,fixation,1,88,0.377,1.0,NoAct
1624890996.69,stimulus,1,89,,0.0,NoAct
1624890997.4910002,fixation,1,89,0.301,1.0,NoAct
1624890999.015,stimulus,1,90,0.325,1.0,NoAct
1624890999.19,fixation,1,90,,0.0,NoAct
1624891001.003,stimulus,1,91,0.313,1.0,NoAct
1624891001.19,fixation,1,91,,0.0,NoAct
1624891002.69,stimulus,1,92,,0.0,NoAct
1624891003.43,fixation,1,92,0.24,1.0,NoAct
1624891004.69,stimulus,1,93,,0.0,NoAct
1624891005.447,fixation,1,93,0.257,0.0,NoAct
1624891006.69,stimulus,1,94,,0.0,NoAct
1624891007.484,fixation,1,94,0.294,1.0,NoAct
1624891008.69,stimulus,1,95,,0.0,NoAct
1624891009.434,fixation,1,95,0.244,1.0,NoAct
1624891010.69,stimulus,1,96,,0.0,NoAct
1624891011.423,fixation,1,96,0.233,1.0,NoAct
1624891012.69,stimulus,1,97,,0.0,NoAct
1624891013.503,fixation,1,97,0.313,1.0,NoAct
1624891014.69,stimulus,1,98,,0.0,NoAct
1624891015.3660002,fixation,1,98,0.176,1.0,NoAct
1624891016.69,stimulus,1,99,,0.0,NoAct
1624891017.339,fixation,1,99,0.149,1.0,NoAct
1624891018.69,stimulus,1,100,,0.0,NoAct
1624891019.319,fixation,1,100,0.129,1.0,NoAct
1624891020.69,stimulus,1,101,,0.0,NoAct
1624891021.9910002,fixation,1,101,0.801,0.0,NoAct
1624891022.69,stimulus,1,102,,0.0,NoAct
1624891023.2410002,fixation,1,102,0.051,1.0,NoAct
1624891024.69,stimulus,1,103,,0.0,NoAct
1624891025.1990001,fixation,1,103,0.009,1.0,NoAct
1624891027.178,stimulus,1,104,0.488,1.0,NoAct
1624891027.19,fixation,1,104,,0.0,NoAct
1624891028.69,stimulus,1,105,,0.0,NoAct
1624891029.313,fixation,1,105,0.123,1.0,NoAct
1624891030.69,stimulus,1,106,,0.0,NoAct
1624891031.361,fixation,1,106,0.171,1.0,NoAct
1624891032.69,stimulus,1,107,,0.0,NoAct
1624891033.438,fixation,1,107,0.248,1.0,NoAct
1624891034.69,stimulus,1,108,,0.0,NoAct
1624891035.4090002,fixation,1,108,0.219,1.0,NoAct
1624891036.69,stimulus,1,109,,0.0,NoAct
1624891037.4420002,fixation,1,109,0.252,1.0,NoAct
1624891038.69,stimulus,1,110,,0.0,NoAct
1624891039.411,fixation,1,110,0.221,1.0,NoAct
1624891040.69,stimulus,1,111,,0.0,NoAct
1624891041.773,fixation,1,111,0.583,1.0,NoAct
1624891042.69,stimulus,1,112,,0.0,NoAct
1624891043.435,fixation,1,112,0.245,1.0,NoAct
1624891044.69,stimulus,1,113,,0.0,NoAct
1624891045.217,fixation,1,113,0.027,1.0,NoAct
1624891046.69,stimulus,1,114,,0.0,NoAct
1624891047.2380002,fixation,1,114,0.048,1.0,NoAct
1624891048.69,stimulus,1,115,,0.0,NoAct
1624891049.285,fixation,1,115,0.095,1.0,NoAct
1624891050.69,stimulus,1,116,,0.0,NoAct
1624891051.1950002,fixation,1,116,0.005,1.0,NoAct
1624891052.69,stimulus,1,117,,0.0,NoAct
1624891053.4880002,fixation,1,117,0.298,1.0,NoAct
1624891054.69,stimulus,1,118,,0.0,NoAct
1624891055.402,fixation,1,118,0.212,1.0,NoAct
1624891056.69,stimulus,1,119,,0.0,NoAct
1624891057.493,fixation,1,119,0.303,1.0,NoAct
1624891058.69,stimulus,1,120,,0.0,NoAct
1624891059.427,fixation,1,120,0.237,1.0,NoAct
1624891060.69,stimulus,1,121,,0.0,NoAct
1624891061.329,fixation,1,121,0.139,1.0,NoAct
1624891062.69,stimulus,1,122,,0.0,NoAct
1624891063.438,fixation,1,122,0.248,1.0,NoAct
1624891064.69,stimulus,1,123,,0.0,NoAct
1624891065.6100001,fixation,1,123,0.42,1.0,NoAct
1624891066.69,stimulus,1,124,,0.0,NoAct
1624891067.3530002,fixation,1,124,0.163,1.0,NoAct
1624891068.69,stimulus,1,125,,0.0,NoAct
1624891069.292,fixation,1,125,0.102,1.0,NoAct
1624891070.69,stimulus,1,126,,0.0,NoAct
1624891071.309,fixation,1,126,0.119,1.0,NoAct
1624891072.69,stimulus,1,127,,0.0,NoAct
1624891073.3960001,fixation,1,127,0.206,1.0,NoAct
1624891074.69,stimulus,1,128,,0.0,NoAct
1624891075.4390001,fixation,1,128,0.249,1.0,NoAct
1624891076.69,stimulus,1,129,,0.0,NoAct
1624891077.27,fixation,1,129,0.08,1.0,NoAct
1624891078.69,stimulus,1,130,,0.0,NoAct
1624891079.3300002,fixation,1,130,0.14,1.0,NoAct
1624891081.173,stimulus,1,131,0.483,1.0,NoAct
1624891081.19,fixation,1,131,,0.0,NoAct
1624891082.69,stimulus,1,132,,0.0,NoAct
1624891083.426,fixation,1,132,0.236,1.0,NoAct
1624891084.69,stimulus,1,133,,0.0,NoAct
1624891085.2,fixation,1,133,0.01,1.0,NoAct
1624891086.999,stimulus,1,134,0.309,1.0,NoAct
1624891087.19,fixation,1,134,,0.0,NoAct
1624891089.089,stimulus,1,135,0.399,1.0,NoAct
1624891089.19,fixation,1,135,,0.0,NoAct
1624891090.69,stimulus,1,136,,0.0,NoAct
1624891091.6000001,fixation,1,136,0.41,1.0,NoAct
1624891092.69,stimulus,1,137,,0.0,NoAct
1624891093.513,fixation,1,137,0.323,1.0,NoAct
1624891094.69,stimulus,1,138,,0.0,NoAct
1624891095.451,fixation,1,138,0.261,1.0,NoAct
1624891097.188,stimulus,1,139,0.498,1.0,NoAct
1624891097.19,fixation,1,139,,0.0,NoAct
1624891098.69,stimulus,1,140,,0.0,NoAct
1624891099.338,fixation,1,140,0.148,1.0,NoAct
1624891100.69,stimulus,1,141,,0.0,NoAct
1624891101.652,fixation,1,141,0.462,1.0,NoAct
1624891102.69,stimulus,1,142,,0.0,NoAct
1624891103.469,fixation,1,142,0.279,1.0,NoAct
1624891104.69,stimulus,1,143,,0.0,NoAct
1624891105.356,fixation,1,143,0.166,1.0,NoAct
1624891106.69,stimulus,1,144,,0.0,NoAct
1624891107.493,fixation,1,144,0.303,1.0,NoAct
1624891108.69,stimulus,1,145,,0.0,NoAct
1624891109.263,fixation,1,145,0.073,0.0,NoAct
1624891111.0670002,stimulus,1,146,0.377,1.0,NoAct
1624891111.19,fixation,1,146,,0.0,NoAct
1624891112.69,stimulus,1,147,,0.0,NoAct
1624891113.4520001,fixation,1,147,0.262,0.0,NoAct
1624891114.69,stimulus,1,148,,0.0,NoAct
1624891115.4850001,fixation,1,148,0.295,1.0,NoAct
1624891116.69,stimulus,1,149,,0.0,NoAct
1624891117.2810001,fixation,1,149,0.091,1.0,NoAct
1624891118.69,stimulus,1,150,,0.0,NoAct
1624891119.243,fixation,1,150,0.053,1.0,NoAct
1624891120.69,stimulus,1,151,,0.0,NoAct
1624891121.278,fixation,1,151,0.088,1.0,NoAct
1624891122.69,stimulus,1,152,,0.0,NoAct
1624891123.364,fixation,1,152,0.174,1.0,NoAct
1624891124.69,stimulus,1,153,,0.0,NoAct
1624891125.461,fixation,1,153,0.271,1.0,NoAct
1624891126.69,stimulus,1,154,,0.0,NoAct
1624891127.447,fixation,1,154,0.257,1.0,NoAct
1624891128.69,stimulus,1,155,,0.0,NoAct
1624891129.762,fixation,1,155,0.572,1.0,NoAct
1624891130.69,stimulus,1,156,,0.0,NoAct
1624891131.277,fixation,1,156,0.087,1.0,NoAct
1624891132.69,stimulus,1,157,,0.0,NoAct
1624891133.4,fixation,1,157,0.21,1.0,NoAct
1624891134.69,stimulus,1,158,,0.0,NoAct
1624891135.3140001,fixation,1,158,0.124,1.0,NoAct
1624891136.69,stimulus,1,159,,0.0,NoAct
1624891137.423,fixation,1,159,0.233,1.0,NoAct
1624891138.69,stimulus,1,160,,0.0,NoAct
1624891139.305,fixation,1,160,0.115,1.0,NoAct
1624891140.69,stimulus,1,161,,0.0,NoAct
1624891141.392,fixation,1,161,0.202,1.0,NoAct
1624891142.69,stimulus,1,162,,0.0,NoAct
1624891143.3960001,fixation,1,162,0.206,1.0,NoAct
1624891144.69,stimulus,1,163,,0.0,NoAct
1624891145.371,fixation,1,163,0.181,1.0,NoAct
1624891146.69,stimulus,1,164,,0.0,NoAct
1624891147.287,fixation,1,164,0.097,1.0,NoAct
1624891148.69,stimulus,1,165,,0.0,NoAct
1624891149.394,fixation,1,165,0.204,1.0,NoAct
1624891150.69,stimulus,1,166,,0.0,NoAct
1624891151.226,fixation,1,166,0.036,1.0,NoAct
1624891152.69,stimulus,1,167,,0.0,NoAct
1624891153.285,fixation,1,167,0.095,1.0,NoAct
1624891154.69,stimulus,1,168,,0.0,NoAct
1624891155.2380002,fixation,1,168,0.048,1.0,NoAct
1624891156.69,stimulus,1,169,,0.0,NoAct
1624891157.464,fixation,1,169,0.274,1.0,NoAct
1624891158.69,stimulus,1,170,,0.0,NoAct
1624891159.356,fixation,1,170,0.166,1.0,NoAct
1624891160.69,stimulus,1,171,,0.0,NoAct
1624891161.536,fixation,1,171,0.346,1.0,NoAct
1624891162.69,stimulus,1,172,,0.0,NoAct
1624891163.2840002,fixation,1,172,0.094,1.0,NoAct
1624891164.69,stimulus,1,173,,0.0,NoAct
1624891165.303,fixation,1,173,0.113,1.0,NoAct
1624891166.69,stimulus,1,174,,0.0,NoAct
1624891167.388,fixation,1,174,0.198,1.0,NoAct
1624891168.69,stimulus,1,175,,0.0,NoAct
