event_time_s,trial_type,session_idx,trial_idx,RT_s,ACC,session_type
1625340692.47,stimulus,1,1,,,PracticeSession
1625340692.97,fixation,1,1,,,PracticeSession
1625340694.47,stimulus,1,2,,,PracticeSession
1625340694.97,fixation,1,2,,,PracticeSession
1625340696.47,stimulus,1,3,,,PracticeSession
1625340696.97,fixation,1,3,,,PracticeSession
1625340698.47,stimulus,1,4,,,PracticeSession
1625340698.97,fixation,1,4,,,PracticeSession
1625340700.47,stimulus,1,5,,,PracticeSession
1625340700.97,fixation,1,5,,,PracticeSession
1625340702.47,stimulus,1,6,,,PracticeSession
1625340702.97,fixation,1,6,,,PracticeSession
1625340704.47,stimulus,1,7,,,PracticeSession
1625340704.97,fixation,1,7,,,PracticeSession
1625340706.47,stimulus,1,8,,,PracticeSession
1625340706.97,fixation,1,8,,,PracticeSession
1625340708.47,stimulus,1,9,,,PracticeSession
1625340708.97,fixation,1,9,,,PracticeSession
1625340710.47,stimulus,1,10,,,PracticeSession
1625340710.97,fixation,1,10,,,PracticeSession
1625340712.47,stimulus,1,11,,,PracticeSession
1625340712.97,fixation,1,11,,,PracticeSession
1625340714.47,stimulus,1,12,,,PracticeSession
1625340714.97,fixation,1,12,,,PracticeSession
1625340716.47,stimulus,1,13,,,PracticeSession
1625340716.97,fixation,1,13,,,PracticeSession
1625340718.47,stimulus,1,14,,,PracticeSession
1625340718.97,fixation,1,14,,,PracticeSession
1625340720.47,stimulus,1,15,,,PracticeSession
1625340720.97,fixation,1,15,,,PracticeSession
1625340722.47,stimulus,1,16,,,PracticeSession
1625340722.97,fixation,1,16,,,PracticeSession
1625340724.47,stimulus,1,17,,,PracticeSession
1625340724.97,fixation,1,17,,,PracticeSession
1625340726.47,stimulus,1,18,,,PracticeSession
1625340726.97,fixation,1,18,,,PracticeSession
1625340728.47,stimulus,1,19,,,PracticeSession
1625340728.97,fixation,1,19,,,PracticeSession
1625340730.47,stimulus,1,20,,,PracticeSession
1625340730.97,fixation,1,20,,,PracticeSession
1625340732.47,stimulus,1,21,,,PracticeSession
1625340732.97,fixation,1,21,,,PracticeSession
1625340734.47,stimulus,1,22,,,PracticeSession
1625340734.97,fixation,1,22,,,PracticeSession
1625340736.47,stimulus,1,23,,,PracticeSession
1625340736.97,fixation,1,23,,,PracticeSession
1625340738.47,stimulus,1,24,,,PracticeSession
1625340738.97,fixation,1,24,,,PracticeSession
1625340740.47,stimulus,1,25,,,PracticeSession
1625340740.97,fixation,1,25,,,PracticeSession
1625340742.47,stimulus,1,26,,,PracticeSession
1625340742.97,fixation,1,26,,,PracticeSession
1625340744.47,stimulus,1,27,,,PracticeSession
1625340744.97,fixation,1,27,,,PracticeSession
1625340746.47,stimulus,1,28,,,PracticeSession
1625340746.97,fixation,1,28,,,PracticeSession
1625340748.47,stimulus,1,29,,,PracticeSession
1625340748.97,fixation,1,29,,,PracticeSession
1625340750.47,stimulus,1,30,,,PracticeSession
1625340750.97,fixation,1,30,,,PracticeSession
1625340752.47,stimulus,1,31,,,PracticeSession
1625340752.97,fixation,1,31,,,PracticeSession
1625340754.47,stimulus,1,32,,,PracticeSession
